Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6267.0,6267.0,0.000,4.691,0.04,11627.232,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6267.0,6267.0,0.000,4.559,0.04,11297.330,SetA_10x4S20-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,1,6509.0,6193.0,5.103,0.014,0.037,-62.712,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1,6307.0,6193.0,1.841,0.014,0.037,-61.946,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,10,6307.0,6193.0,1.841,0.026,0.037,-29.232,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,10,6236.0,6193.0,0.694,0.029,0.037,-21.366,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,100,6193.0,6193.0,0.000,0.034,0.037,-8.205,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,100,6193.0,6193.0,0.000,0.035,0.037,-4.655,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,6193.0,6193.0,0.000,0.094,0.037,154.414,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,6193.0,6193.0,0.000,0.078,0.037,111.488,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,6193.0,6193.0,0.000,0.224,0.037,506.165,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,6193.0,6193.0,0.000,0.145,0.037,293.126,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,6193.0,6193.0,0.000,0.652,0.037,1661.144,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,6193.0,6193.0,0.000,0.627,0.037,1594.377,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6193.0,6193.0,0.000,4.941,0.037,13253.190,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6193.0,6193.0,0.000,4.869,0.037,13060.467,SetA_10x4S30-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1,6721.0,6518.0,3.114,0.010,0.119,-91.563,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1,6696.0,6518.0,2.731,0.009,0.119,-92.099,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,10,6567.0,6518.0,0.752,0.016,0.119,-86.374,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,10,6543.0,6518.0,0.384,0.016,0.119,-86.378,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,100,6518.0,6518.0,0.000,0.031,0.119,-73.936,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,100,6518.0,6518.0,0.000,0.033,0.119,-72.307,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,6518.0,6518.0,0.000,0.084,0.119,-29.803,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,6518.0,6518.0,0.000,0.080,0.119,-32.372,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,6518.0,6518.0,0.000,0.189,0.119,58.759,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,6518.0,6518.0,0.000,0.183,0.119,53.374,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,6518.0,6518.0,0.000,0.997,0.119,737.607,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,6518.0,6518.0,0.000,0.933,0.119,684.259,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6518.0,6518.0,0.000,8.653,0.119,7171.264,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6518.0,6518.0,0.000,8.757,0.119,7259.020,SetA_10x4S5-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,6806.0,6476.0,5.096,0.010,0.096,-89.687,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,6658.0,6476.0,2.810,0.018,0.096,-81.480,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,6608.0,6476.0,2.038,0.014,0.096,-85.122,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,6497.0,6476.0,0.324,0.016,0.096,-83.521,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,6528.0,6476.0,0.803,0.033,0.096,-65.249,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,6528.0,6476.0,0.803,0.045,0.096,-53.639,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,6497.0,6476.0,0.324,0.079,0.096,-17.753,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,6480.0,6476.0,0.062,0.077,0.096,-19.348,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,6480.0,6476.0,0.062,0.143,0.096,48.605,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,6480.0,6476.0,0.062,0.153,0.096,58.895,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,6478.0,6476.0,0.031,0.529,0.096,451.451,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,6487.0,6476.0,0.170,0.534,0.096,456.566,SetA_10x5S10-Solution
