Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_10x4S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6193.0,6193.0,5050274582,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1,6433.0,6193.0,11728296,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,10,6286.0,6193.0,16373358,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,100,6222.0,6193.0,36185018,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,6193.0,6193.0,84123600,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,6193.0,6193.0,214698815,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,6193.0,6193.0,719131731,SetA_10x4S30-Solution
SetA_10x4S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6193.0,6193.0,5170787596,SetA_10x4S30-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1,6599.0,6518.0,10764053,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,10,6549.0,6518.0,15871917,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,100,6518.0,6518.0,33092440,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,6518.0,6518.0,85996112,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,6518.0,6518.0,229602572,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,6518.0,6518.0,1048916001,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6518.0,6518.0,8491594680,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1,6577.0,6518.0,11188352,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,10,6541.0,6518.0,16382697,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,100,6538.0,6518.0,36563220,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,6518.0,6518.0,92655257,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,6518.0,6518.0,226322214,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,6518.0,6518.0,1083717880,SetA_10x4S5-Solution
SetA_10x4S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6518.0,6518.0,8830901268,SetA_10x4S5-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,6919.0,6476.0,11194094,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,6615.0,6476.0,16842679,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,6551.0,6476.0,35775898,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,6478.0,6476.0,80680026,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,6487.0,6476.0,184646192,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,6478.0,6476.0,644756913,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6478.0,6476.0,4379853205,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,6886.0,6476.0,10532752,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,6572.0,6476.0,17026094,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,6536.0,6476.0,37373908,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,6496.0,6476.0,84968632,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,6482.0,6476.0,216181926,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,6480.0,6476.0,681926062,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6478.0,6476.0,4655918538,SetA_10x5S10-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,6548.0,6397.0,10819124,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,6525.0,6397.0,66656845,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,6448.0,6397.0,41035235,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,6421.0,6397.0,103598661,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,6428.0,6397.0,224123653,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,6397.0,6397.0,672622286,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6397.0,6397.0,4629097128,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,6575.0,6397.0,11121561,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,6422.0,6397.0,17954994,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,6492.0,6397.0,37267336,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,6421.0,6397.0,89485353,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,6424.0,6397.0,208885869,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,6397.0,6397.0,694453135,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6397.0,6397.0,4580790741,SetA_10x5S15-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,6550.0,6342.0,11926013,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,6462.0,6342.0,17770862,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,6416.0,6342.0,40422836,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,6360.0,6342.0,96485938,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,6351.0,6342.0,225594481,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,6351.0,6342.0,718864734,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6351.0,6342.0,4890008823,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,6695.0,6342.0,10827078,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,6485.0,6342.0,18124854,SetA_10x5S20-Solution
