Problem, Algorithm, Objective Function Value, CPU (ns), NotFeasible, Solution output
SetA_12x5S15,MaxCapacity,8984.0,2708900,,SetA_12x5S15-Solution
SetA_12x5S15,MinCapacity,8766.0,2702500,,SetA_12x5S15-Solution
SetA_12x5S15,MaxCapacityRandom,8896.0,4329500,,SetA_12x5S15-Solution
SetA_12x5S15,MinCapacityRandom,8566.0,3498200,,SetA_12x5S15-Solution
SetA_12x5S20,MaxCapacity,8984.0,2569000,,SetA_12x5S20-Solution
SetA_12x5S20,MinCapacity,8590.0,3097000,,SetA_12x5S20-Solution
SetA_12x5S20,MaxCapacityRandom,8676.0,3542400,,SetA_12x5S20-Solution
SetA_12x5S20,MinCapacityRandom,8666.0,3519400,,SetA_12x5S20-Solution
SetA_12x5S30,MaxCapacity,8984.0,3016400,,SetA_12x5S30-Solution
SetA_12x5S30,MinCapacity,8680.0,2931400,,SetA_12x5S30-Solution
SetA_12x5S30,MaxCapacityRandom,8842.0,3979100,,SetA_12x5S30-Solution
SetA_12x5S30,MinCapacityRandom,8696.0,4186400,,SetA_12x5S30-Solution
SetA_12x5S5,MaxCapacity,-2.0,3274800,X,SetA_12x5S5-Solution
SetA_12x5S5,MinCapacity,8821.0,2659500,,SetA_12x5S5-Solution
SetA_12x5S5,MaxCapacityRandom,-2.0,3731700,X,SetA_12x5S5-Solution
SetA_12x5S5,MinCapacityRandom,8809.0,3117800,,SetA_12x5S5-Solution
SetA_12x6S10,MaxCapacity,11818.0,2842600,,SetA_12x6S10-Solution
SetA_12x6S10,MinCapacity,11594.0,2876400,,SetA_12x6S10-Solution
SetA_12x6S10,MaxCapacityRandom,11502.0,3367600,,SetA_12x6S10-Solution
SetA_12x6S10,MinCapacityRandom,11660.0,3633800,,SetA_12x6S10-Solution
SetA_12x6S15,MaxCapacity,11818.0,2905100,,SetA_12x6S15-Solution
SetA_12x6S15,MinCapacity,11755.0,2567400,,SetA_12x6S15-Solution
SetA_12x6S15,MaxCapacityRandom,11709.0,3568700,,SetA_12x6S15-Solution
SetA_12x6S15,MinCapacityRandom,12259.0,3319800,,SetA_12x6S15-Solution
SetA_12x6S20,MaxCapacity,11818.0,2756600,,SetA_12x6S20-Solution
SetA_12x6S20,MinCapacity,11595.0,3035100,,SetA_12x6S20-Solution
SetA_12x6S20,MaxCapacityRandom,11513.0,3366200,,SetA_12x6S20-Solution
SetA_12x6S20,MinCapacityRandom,11870.0,3399200,,SetA_12x6S20-Solution
SetA_12x6S30,MaxCapacity,11818.0,2659600,,SetA_12x6S30-Solution
SetA_12x6S30,MinCapacity,11364.0,2918900,,SetA_12x6S30-Solution
SetA_12x6S30,MaxCapacityRandom,11582.0,3594600,,SetA_12x6S30-Solution
SetA_12x6S30,MinCapacityRandom,11943.0,3426800,,SetA_12x6S30-Solution
SetA_12x6S5,MaxCapacity,-2.0,2809900,X,SetA_12x6S5-Solution
SetA_12x6S5,MinCapacity,-2.0,3160100,X,SetA_12x6S5-Solution
SetA_12x6S5,MaxCapacityRandom,-2.0,3381300,X,SetA_12x6S5-Solution
SetA_12x6S5,MinCapacityRandom,11904.0,3400500,,SetA_12x6S5-Solution
SetA_15x6S10,MaxCapacity,-2.0,2627100,X,SetA_15x6S10-Solution
SetA_15x6S10,MinCapacity,15097.0,2717300,,SetA_15x6S10-Solution
SetA_15x6S10,MaxCapacityRandom,15692.0,3604300,,SetA_15x6S10-Solution
SetA_15x6S10,MinCapacityRandom,15434.0,3969100,,SetA_15x6S10-Solution
SetA_15x6S15,MaxCapacity,15553.0,3532600,,SetA_15x6S15-Solution
SetA_15x6S15,MinCapacity,14875.0,2940800,,SetA_15x6S15-Solution
SetA_15x6S15,MaxCapacityRandom,15220.0,3565300,,SetA_15x6S15-Solution
SetA_15x6S15,MinCapacityRandom,15223.0,3632400,,SetA_15x6S15-Solution
SetA_15x6S20,MaxCapacity,15553.0,2603300,,SetA_15x6S20-Solution
SetA_15x6S20,MinCapacity,14842.0,2894200,,SetA_15x6S20-Solution
SetA_15x6S20,MaxCapacityRandom,15190.0,3605800,,SetA_15x6S20-Solution
SetA_15x6S20,MinCapacityRandom,15272.0,3419900,,SetA_15x6S20-Solution
SetA_15x6S30,MaxCapacity,15553.0,3045700,,SetA_15x6S30-Solution
SetA_15x6S30,MinCapacity,15038.0,2654000,,SetA_15x6S30-Solution
SetA_15x6S30,MaxCapacityRandom,15458.0,3689300,,SetA_15x6S30-Solution
SetA_15x6S30,MinCapacityRandom,15411.0,3373200,,SetA_15x6S30-Solution
SetA_15x6S5,MaxCapacity,-2.0,2793400,X,SetA_15x6S5-Solution
SetA_15x6S5,MinCapacity,-2.0,2997000,X,SetA_15x6S5-Solution
SetA_15x6S5,MaxCapacityRandom,15591.0,3458900,,SetA_15x6S5-Solution
SetA_15x6S5,MinCapacityRandom,-2.0,3516800,X,SetA_15x6S5-Solution
SetA_15x7S10,MaxCapacity,-2.0,2826300,X,SetA_15x7S10-Solution
SetA_15x7S10,MinCapacity,16723.0,2544000,,SetA_15x7S10-Solution
SetA_15x7S10,MaxCapacityRandom,16845.0,3285600,,SetA_15x7S10-Solution
SetA_15x7S10,MinCapacityRandom,16808.0,3531300,,SetA_15x7S10-Solution
SetA_15x7S15,MaxCapacity,16739.0,2931800,,SetA_15x7S15-Solution
SetA_15x7S15,MinCapacity,16154.0,2756800,,SetA_15x7S15-Solution
SetA_15x7S15,MaxCapacityRandom,16517.0,3599600,,SetA_15x7S15-Solution
SetA_15x7S15,MinCapacityRandom,16744.0,3562800,,SetA_15x7S15-Solution
SetA_15x7S20,MaxCapacity,16739.0,2955300,,SetA_15x7S20-Solution
SetA_15x7S20,MinCapacity,16023.0,2882600,,SetA_15x7S20-Solution
SetA_15x7S20,MaxCapacityRandom,16553.0,3488400,,SetA_15x7S20-Solution
SetA_15x7S20,MinCapacityRandom,16847.0,3999000,,SetA_15x7S20-Solution
SetA_15x7S30,MaxCapacity,16739.0,2630400,,SetA_15x7S30-Solution
SetA_15x7S30,MinCapacity,15726.0,2505100,,SetA_15x7S30-Solution
SetA_15x7S30,MaxCapacityRandom,17214.0,3806700,,SetA_15x7S30-Solution
SetA_15x7S30,MinCapacityRandom,16503.0,3319200,,SetA_15x7S30-Solution
SetA_15x7S5,MaxCapacity,-2.0,2763400,X,SetA_15x7S5-Solution
SetA_15x7S5,MinCapacity,16806.0,2616300,,SetA_15x7S5-Solution
SetA_15x7S5,MaxCapacityRandom,17366.0,3809000,,SetA_15x7S5-Solution
SetA_15x7S5,MinCapacityRandom,16815.0,3589300,,SetA_15x7S5-Solution
SetA_20x10S10,MaxCapacity,33333.0,3033600,,SetA_20x10S10-Solution
SetA_20x10S10,MinCapacity,33799.0,2683000,,SetA_20x10S10-Solution
SetA_20x10S10,MaxCapacityRandom,34030.0,3731900,,SetA_20x10S10-Solution
SetA_20x10S10,MinCapacityRandom,34626.0,3800200,,SetA_20x10S10-Solution
SetA_20x10S15,MaxCapacity,33333.0,2812700,,SetA_20x10S15-Solution
SetA_20x10S15,MinCapacity,33038.0,2893200,,SetA_20x10S15-Solution
SetA_20x10S15,MaxCapacityRandom,34129.0,4095200,,SetA_20x10S15-Solution
